gen,avg_fitness,std_fitness,best_of_gen
46,12717276.019032845,1113994.0708267065,13504390.76349228
47,12359657.673582405,1349275.0356019144,13504390.76349228
48,12800635.462269932,790720.8522162826,13504390.76349228
49,12544659.007474827,1010786.7380335849,13504390.76349228
0,11145273.556033917,1460032.152626321,12907137.797298014
1,11745880.831877738,943179.5310465216,12974522.995273245
2,12200249.328798125,827928.8742882814,12995737.204464272
3,12325867.134849945,694144.7262422424,13112014.563452933
4,12360382.607875733,716819.9916737569,13112014.563452933
5,12307118.459335132,724962.5122281256,13112014.563452933
6,12453222.363339325,706169.2661663074,13235129.989832422
7,12442077.365373045,1049599.0844083559,13235129.989832422
8,12570958.695926785,862254.8922855684,13235129.989832422
9,12618682.095276965,551144.651459834,13235129.989832422
10,12616972.344794182,695206.5139336284,13242830.679007148
11,12721200.961766802,452041.9241057861,13298621.493399626
12,12422976.87806933,961194.3214509884,13298621.493399626
13,12563761.58568889,931514.9556813331,13353857.987179626
14,12662978.774820196,770581.6067516988,13353857.987179626
15,12335755.628391853,1082477.4355677206,13353857.987179626
16,12447675.466279667,890517.1725148066,13353857.987179626
17,12528388.510320153,908084.6185513586,13353857.987179626
18,12498711.669960884,1064112.2282710248,13401288.564444473
19,12589262.685338425,766726.313567125,13401288.564444473
20,12582978.223093482,770133.3346547877,13401288.564444473
21,12447409.419549005,1139157.8770753976,13401288.564444473
22,12357445.123263635,1113386.9439302622,13401288.564444473
23,12674610.767854212,662126.9635099532,13401288.564444473
24,12320330.826258466,800074.5700376127,13401288.564444473
25,12353061.890621973,1110388.2733509934,13401288.564444473
26,12561003.206401275,734809.3905485369,13401288.564444473
27,12527078.285923652,757021.1792015459,13430370.029792106
28,12723615.468453055,424745.48388073617,13430370.029792106
29,12659471.43223519,745551.2887948944,13430370.029792106
30,12578231.468214778,936488.0423501241,13430370.029792106
31,12693662.55589001,777800.1265510743,13430370.029792106
32,12709447.130221507,751554.1126433571,13430370.029792106
33,12601893.11736386,936486.5412333269,13496579.926114818
